id,domain_content,domain_data,domain_software,family,is_generic,maintainer,od_conformance,osd_conformance,status,title,url,legacy_ids
met-office-cp,False,False,False,,,,not reviewed,not reviewed,active,Met Office UK Climate Projections Licence Agreement,https://www.metoffice.gov.uk/climatechange/science/monitoring/ukcp09/UKCIP08_license_agreement_130709.pdf,
mitre,False,False,True,,,,not reviewed,approved,active,MITRE Collaborative Virtual Workspace License (CVW License),https://opensource.org/licenses/CVW,
notspecified,False,False,False,,True,,not reviewed,not reviewed,active,License Not Specified,,
other-at,True,False,False,,True,,approved,not reviewed,active,Other (Attribution),,
other-closed,False,False,False,,True,,not reviewed,not reviewed,active,Other (Not Open),,
other-nc,False,False,False,,True,,not reviewed,not reviewed,active,Other (Non-Commercial),,
other-open,True,False,False,,True,,approved,not reviewed,active,Other (Open),,
other-pd,True,False,False,,True,,approved,not reviewed,active,Other (Public Domain),,
ukclickusepsi,True,False,False,,,,rejected,not reviewed,retired,UK Click Use PSI,,
ukcrown,False,False,False,,,,rejected,not reviewed,active,UK Crown Copyright,,
ukcrown-withrights,True,False,False,,,,approved,not reviewed,retired,UK Crown Copyright with data.gov.uk rights,,
ukpsi,True,False,False,,,,rejected,not reviewed,active,UK PSI Public Sector Information,https://opendefinition.org/licenses/ukpsi,
